                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5241,                 4.8674,                 1.2735,                 0.0008,                0.23077,                0.00052,                0.00012,                 1.0499,                 4.3075,                 1.1036,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.5763,                 4.6138,                  1.324,                0.00093,                0.26923,                0.00068,                0.00021,                0.97157,                 4.2825,                 1.0658,             0.00017644,             0.00017644,             0.00017644
                      3,                 1.4546,                 4.2045,                 1.2372,                 0.0008,                0.23077,                0.00057,                0.00018,                0.93586,                 4.2792,                  1.061,             0.00026891,             0.00026891,             0.00026891
                      4,                 1.2905,                 3.7431,                 1.1561,                0.00133,                0.38462,                0.00092,                0.00031,                 0.9469,                 4.2654,                 1.0606,             0.00035743,             0.00035743,             0.00035743
                      5,                 1.3658,                  3.511,                 1.2041,                0.00267,                0.76923,                0.00264,                0.00093,                0.93291,                 4.1882,                 1.0631,             0.00044198,             0.00044198,             0.00044198
                      6,                 1.2329,                 3.1374,                   1.14,                 0.0032,                0.92308,                0.00391,                0.00196,                0.89812,                 4.1604,                 1.0397,             0.00052258,             0.00052258,             0.00052258
                      7,                 1.2587,                 2.8974,                 1.1328,                0.00307,                0.88462,                0.00436,                0.00281,                0.86855,                 4.1072,                0.98407,             0.00059922,             0.00059922,             0.00059922
                      8,                 1.1948,                 2.6146,                 1.1157,                0.00307,                0.88462,                0.00448,                0.00295,                0.87354,                 4.0512,                0.97763,             0.00067189,             0.00067189,             0.00067189
                      9,                 1.1711,                 2.3542,                 1.0878,                 0.0028,                0.80769,                 0.0044,                0.00318,                0.87399,                  3.987,                0.99919,             0.00074061,             0.00074061,             0.00074061
                     10,                 1.1313,                 2.0706,                 1.0728,                0.00293,                0.84615,                0.00487,                0.00342,                0.87741,                  3.901,                0.99627,             0.00080536,             0.00080536,             0.00080536
                     11,                 1.1127,                 1.8385,                 1.0933,                0.00293,                0.84615,                0.01374,                0.01133,                0.94404,                 3.7814,                 1.0201,             0.00086616,             0.00086616,             0.00086616
                     12,                 1.1595,                 1.6048,                  1.081,                0.00293,                0.84615,                 0.1498,                0.10953,                0.88401,                 3.5844,                0.99196,               0.000923,               0.000923,               0.000923
                     13,                 1.1318,                 1.3989,                 1.0329,                0.00293,                0.84615,                  0.368,                0.28355,                0.87037,                 3.4171,                0.98831,             0.00097587,             0.00097587,             0.00097587
                     14,                  1.143,                 1.2597,                 1.0747,                0.00307,                0.88462,                0.73657,                0.56742,                0.91645,                 3.0589,                0.99934,              0.0010248,              0.0010248,              0.0010248
                     15,                 1.1433,                 1.1716,                  1.093,                0.93957,                0.59853,                0.78943,                0.63531,                0.90447,                 2.7084,                0.99453,              0.0010697,              0.0010697,              0.0010697
                     16,                 1.1081,                 1.0589,                 1.0783,                0.93771,                0.57916,                0.79901,                0.63656,                0.89024,                 2.6524,                0.99256,              0.0011107,              0.0011107,              0.0011107
                     17,                  1.077,                0.94718,                 1.1009,                 0.0032,                0.92308,                0.76088,                 0.5624,                0.94085,                 2.7469,                 1.0173,              0.0011478,              0.0011478,              0.0011478
                     18,                 1.1126,                0.97403,                 1.1127,                 0.0032,                0.92308,                0.82771,                0.61909,                0.94484,                 2.7373,                 1.0229,              0.0011809,              0.0011809,              0.0011809
                     19,                 1.1138,                0.95521,                 1.0554,                      1,                0.60756,                 0.8855,                0.69382,                0.88387,                 2.5782,                 0.9808,                0.00121,                0.00121,                0.00121
                     20,                 1.1071,                0.87596,                 1.0915,                      1,                0.64971,                0.88563,                0.69134,                0.86933,                 2.2534,                0.99133,              0.0012351,              0.0012351,              0.0012351
                     21,                 1.0732,                0.85885,                 1.0547,                      1,                 0.7943,                0.88557,                0.67302,                0.92377,                 2.1788,                  1.025,               0.001208,               0.001208,               0.001208
                     22,                  1.101,                0.85449,                 1.0858,                      1,                0.81173,                0.88552,                0.68399,                0.96745,                 2.1119,                 1.0381,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0685,                0.80581,                 1.0728,                0.97213,                0.80769,                0.88222,                0.68798,                0.96083,                 2.0231,                 1.0274,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.0494,                0.78197,                 1.0078,                0.97594,                0.88462,                0.88636,                0.71658,                0.82943,                 1.5203,                0.97032,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.0574,                0.77525,                 1.0396,                0.98615,                0.88462,                0.89058,                0.72049,                0.81504,                 1.3806,                0.97673,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.0614,                 0.7852,                 1.0313,                0.99306,                0.88462,                0.88927,                0.71115,                 0.8244,                 1.1918,                 0.9767,                0.00101,                0.00101,                0.00101
                     27,                 1.0585,                0.72832,                 1.0358,                0.99121,                0.88462,                0.88773,                0.67016,                0.92982,                 1.0798,                 1.0067,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1027,                0.78374,                 1.0766,                0.99396,                0.88462,                0.89412,                0.66947,                 1.0344,                 1.0203,                 1.0576,              0.0009308,              0.0009308,              0.0009308
                     29,                  1.081,                0.74434,                 1.0557,                0.99429,                0.88462,                0.90275,                0.67779,                0.99755,                0.96699,                 1.0562,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.0498,                0.74564,                 1.0298,                0.99445,                0.88462,                0.91382,                 0.7022,                0.93544,                 0.9085,                 1.0416,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.1208,                 0.7756,                 1.0856,                0.99441,                0.88462,                0.92027,                 0.7123,                 0.9188,                0.85195,                 1.0395,               0.000812,               0.000812,               0.000812
                     32,                 1.0602,                0.73994,                  1.059,                0.99405,                0.88462,                0.92804,                0.69311,                 0.9756,                0.82372,                 1.0569,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0263,                 0.6579,                 1.0155,                0.99102,                0.88462,                0.92956,                0.66899,                 1.0301,                0.81781,                 1.0753,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0365,                0.69219,                 1.0557,                0.98545,                0.88462,                0.93075,                0.67981,                 1.0172,                0.79931,                  1.068,              0.0006932,              0.0006932,              0.0006932
                     35,                0.98797,                 0.6566,                  1.049,                0.99238,                0.88462,                0.93407,                0.70461,                0.99335,                0.74961,                  1.055,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0407,                0.73384,                 1.0547,                0.99378,                0.88462,                0.93526,                0.69803,                0.89655,                0.66545,                 1.0089,               0.000614,               0.000614,               0.000614
                     37,                 1.0462,                0.69013,                 1.0411,                      1,                0.92011,                0.93195,                0.72348,                0.88037,                 0.6423,                 1.0025,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0064,                0.64378,                 1.0312,                      1,                0.92241,                0.92925,                0.71433,                0.88325,                0.64256,                 1.0068,              0.0005348,              0.0005348,              0.0005348
                     39,                0.97454,                0.64915,                 1.0343,                 0.9997,                0.92308,                 0.9273,                0.71035,                0.88948,                0.63868,                  1.011,              0.0004952,              0.0004952,              0.0004952
                     40,                0.96272,                0.64583,                 1.0114,                      1,                0.92176,                0.92606,                0.70181,                0.89569,                0.62943,                 1.0138,              0.0004556,              0.0004556,              0.0004556
                     41,                0.78841,                0.81627,                0.94775,                      1,                0.92149,                0.92571,                0.71654,                0.87478,                0.63711,                 1.0046,               0.000416,               0.000416,               0.000416
                     42,                0.78131,                0.78414,                0.99742,                      1,                0.92248,                0.92555,                0.72351,                0.83762,                0.62746,                0.99046,              0.0003764,              0.0003764,              0.0003764
                     43,                0.85343,                0.70861,                0.98131,                0.99982,                0.92308,                0.92544,                0.73791,                0.81064,                0.62642,                0.97786,              0.0003368,              0.0003368,              0.0003368
                     44,                0.83205,                0.72487,                 1.0007,                0.99976,                0.92308,                 0.9253,                0.74263,                0.79706,                0.61349,                0.96618,              0.0002972,              0.0002972,              0.0002972
                     45,                0.80171,                0.65268,                0.96788,                0.99955,                0.92308,                0.92529,                0.74069,                0.79702,                0.59674,                 0.9604,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.7525,                0.63423,                0.94426,                0.99933,                0.92308,                0.92529,                0.73693,                0.78794,                0.57955,                0.95505,               0.000218,               0.000218,               0.000218
                     47,                0.78324,                0.61866,                 1.0135,                 0.9994,                0.92308,                0.92518,                   0.74,                0.78015,                0.56588,                0.95298,              0.0001784,              0.0001784,              0.0001784
                     48,                0.74233,                0.61102,                0.94219,                0.99945,                0.92308,                0.92519,                0.74917,                0.77287,                 0.5613,                0.95226,              0.0001388,              0.0001388,              0.0001388
                     49,                0.78113,                0.60524,                0.98644,                0.99972,                0.92308,                0.92519,                0.74389,                0.78137,                0.54745,                0.95492,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.77454,                0.58129,                0.99696,                0.99981,                0.92308,                0.92519,                0.74452,                0.78177,                0.55036,                0.95597,               5.96e-05,               5.96e-05,               5.96e-05
